"id","data_version","date","months","garagem","terraco","piscina","terreno","centroid","pva_m2","data_private","data_public","ecd","cfr","thumbnail","classe_energetica_id","cp7_id","estado","gama","situacao_mercado_id","tipo","tipologia","concelho_id","freguesia_id","regiao_id"
2547816,202110,"2021-05-01",5,False,False,False,False,"0101000020E6100000DE864BA01E5F21C0AF56161A429D4340",723,"{""pv"": 78200, ""pva"": 76000, ""coef"": 97.000, ""meses"": 5, ""pv_m2"": 745}","{""cp"": ""2000-200 SANTARÉM"", ""abp"": 105, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 4, ""orginal_cfr"": ""120431284-88"", ""percentil_pva"": 43, ""ano_construcao"": 1973}",219,"130d009a926267d69cac48e5df0f52a9",NULL,5,2000200,2,2,1,1,5,141600,141633,4
2547855,202110,"2021-01-01",9,False,False,False,False,"0101000020E610000090FB6ACFAB2921C0A61C407DD3944340",353,"{""pv"": 95000, ""pva"": 91600, ""coef"": 96.000, ""meses"": 34, ""pv_m2"": 367}","{""cp"": ""2080-653 FAZENDAS DE ALMEIRIM"", ""abp"": 259, ""concelho"": ""Almeirim"", ""freguesia"": ""Fazendas de Almeirim"", ""n_quartos"": 3, ""orginal_cfr"": ""120431289-30"", ""percentil_pva"": 62, ""ano_construcao"": 1962}",219,"cd924100bed19addf2a92093e544dd42",NULL,8,2080653,2,3,2,2,7,140300,140303,4
2547862,202110,"2020-03-01",19,False,False,False,False,"0101000020E61000006F49ABAD1A7522C05EC1F4C577594340",2641,"{""pv"": 165000, ""pva"": 190200, ""coef"": 115.000, ""meses"": 2, ""pv_m2"": 2292}","{""cp"": ""1495-001 ALGÉS"", ""abp"": 72, ""concelho"": ""Oeiras"", ""freguesia"": ""UF Algés e Linda-a-Velha"", ""n_quartos"": 2, ""orginal_cfr"": ""120431289-49"", ""percentil_pva"": 27, ""ano_construcao"": 1976}",219,"ee4a75965053ac619186c9a88e2a4ce0",NULL,5,1495001,2,2,2,1,3,111000,111012,1
2547800,202110,"2020-10-01",12,False,False,False,False,"0101000020E6100000D481950BE13E21C02ECA09668EA94340",462,"{""pv"": 60000, ""pva"": 57300, ""coef"": 96.000, ""meses"": 37, ""pv_m2"": 484}","{""cp"": ""2000-721 VALE DE FIGUEIRA STR"", ""abp"": 124, ""concelho"": ""Santarém"", ""freguesia"": ""UF S Vicente do Paul e Vale de Figueira"", ""n_quartos"": 2, ""orginal_cfr"": ""120431284-61"", ""percentil_pva"": 24, ""ano_construcao"": 1962}",219,"b011b0c64cca531348a6ef5594b65cf3",NULL,7,2000721,2,1,2,2,7,141600,141634,4
2547914,202110,"2020-09-01",13,False,False,False,False,"0101000020E610000002D05B4E9F6221C05240A054779E4340",574,"{""pv"": 122800, ""pva"": 121700, ""coef"": 99.000, ""meses"": 38, ""pv_m2"": 579}","{""cp"": ""2005-141 SANTARÉM"", ""abp"": 212, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 4, ""orginal_cfr"": ""120431291-48"", ""percentil_pva"": 68, ""ano_construcao"": 2000}",219,"a939f553fccd13438560ae9efb0fb8d6",NULL,6,2005141,2,3,1,1,5,141600,141633,4
2547809,202110,"2020-08-01",14,False,False,False,False,"0101000020E6100000A6983259A49021C0C2CCEB46279C4340",640,"{""pv"": 147900, ""pva"": 146600, ""coef"": 99.000, ""meses"": 10, ""pv_m2"": 646}","{""cp"": ""2005-539 PÓVOA DA ISENTA"", ""abp"": 229, ""concelho"": ""Santarém"", ""freguesia"": ""Póvoa da Isenta"", ""n_quartos"": 5, ""orginal_cfr"": ""120431284-80"", ""percentil_pva"": 76, ""ano_construcao"": 1999}",219,"41f9531b4efc5cc4486fa2dbeb6c410c",NULL,5,2005539,2,4,1,2,8,141600,141616,4
2548064,202110,"2020-06-01",16,False,False,False,False,"0101000020E610000055F30D66C2F720C09044160638AD4340",531,"{""pv"": 60000, ""pva"": 62200, ""coef"": 104.000, ""meses"": 3, ""pv_m2"": 513}","{""cp"": ""2140-110 CHAMUSCA"", ""abp"": 117, ""concelho"": ""Chamusca"", ""freguesia"": ""UF Chamusca e Pinheiro Grande"", ""n_quartos"": 2, ""orginal_cfr"": ""120431341-53"", ""percentil_pva"": 39, ""ano_construcao"": 2000}",219,"ac40568cd0052b450823abe1c02e39a9",NULL,7,2140110,2,2,2,1,3,140700,140708,4
2548066,202110,"2021-02-01",8,False,False,False,False,"0101000020E61000008A4D33F6885C21C00A7C4D28279E4340",885,"{""pv"": 85000, ""pva"": 84100, ""coef"": 99.000, ""meses"": 11, ""pv_m2"": 895}","{""cp"": ""2000-115 SANTARÉM"", ""abp"": 95, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 2, ""orginal_cfr"": ""120431341-55"", ""percentil_pva"": 49, ""ano_construcao"": 1993}",219,"df9d0486111cf20f896a33d06d973967",NULL,7,2000115,2,2,2,1,3,141600,141633,4
2548071,202110,"2021-03-01",7,False,False,False,False,"0101000020E6100000CD275BBFC16021C0FF7513211A9D4340",760,"{""pv"": 50800, ""pva"": 50200, ""coef"": 99.000, ""meses"": 8, ""pv_m2"": 770}","{""cp"": ""2000-184 SANTARÉM"", ""abp"": 66, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 2, ""orginal_cfr"": ""120431341-65"", ""percentil_pva"": 16, ""ano_construcao"": 1976}",219,"e60c87698c2d1c8c1d963a92bf6fa07d",NULL,6,2000184,2,1,1,1,3,141600,141633,4
2548002,202110,"2021-05-01",5,False,False,False,False,"0101000020E6100000DF270C9FB45D21C0600BF636E89D4340",767,"{""pv"": 86800, ""pva"": 84400, ""coef"": 97.000, ""meses"": 23, ""pv_m2"": 789}","{""cp"": ""2000-057 SANTARÉM"", ""abp"": 110, ""concelho"": ""Santarém"", ""freguesia"": ""UF Santarém (Marvila/S Salv./S Nicolau) "", ""n_quartos"": 3, ""orginal_cfr"": ""120431307-78"", ""percentil_pva"": 49, ""ano_construcao"": 1958}",219,"ed3f3274a4b219d69005ae436b6c30c6",NULL,7,2000057,2,2,1,1,4,141600,141633,4
